,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
50,Chattanooga,35,18,17,.514,-2.18,-3.18,,7,11,,9,7,,6,9,,2702,2523,,68.9,104.3,.279,.425,.531,48.3,45.5,9.0,8.6,.494,13.4,25.8,.214
51,Chicago State,31,11,20,.355,-10.93,-3.15,,,,,8,0,,3,20,,2180,2264,,66.8,108.9,.326,.381,.550,48.8,55.5,10.0,11.1,.521,14.8,31.6,.228
52,Cincinnati,31,20,11,.645,11.99,5.09,,11,7,,15,3,,4,6,,2416,2161,,69.9,98.9,.294,.308,.516,48.2,49.8,7.7,7.3,.477,15.3,27.0,.220
53,Clemson,33,23,10,.697,11.23,4.08,,14,6,,15,1,,5,6,,2476,2240,,68.1,98.9,.308,.404,.512,48.5,49.0,8.3,7.6,.474,14.6,24.4,.225
54,Cleveland State,34,21,13,.618,-1.90,-4.93,,14,6,,13,3,,7,9,,2437,2314,,66.4,101.0,.306,.383,.519,49.6,50.6,9.3,8.8,.482,17.6,34.6,.224
55,Coastal Carolina,31,11,20,.355,-8.71,-1.53,,5,13,,8,8,,3,11,,2273,2294,,69.1,106.3,.275,.454,.536,48.8,55.3,9.5,8.5,.507,14.3,29.9,.197
56,Colgate,34,26,8,.765,2.28,-6.63,,17,1,,14,2,,11,4,,2672,2345,,68.3,101.0,.201,.365,.536,48.1,54.2,8.7,8.1,.518,16.1,23.8,.138
57,College of Charleston,34,31,3,.912,8.46,-4.51,,16,2,,17,1,,11,2,,2747,2290,,70.8,94.5,.246,.323,.505,45.5,45.5,8.0,10.9,.481,17.1,25.4,.167
58,Colorado,33,17,16,.515,12.06,8.79,,8,12,,12,4,,2,9,,2311,2203,,69.7,95.8,.322,.344,.513,47.3,46.6,10.4,10.7,.477,17.4,25.3,.228
59,Colorado State,33,15,18,.455,6.23,6.44,,6,12,,9,7,,4,8,,2391,2355,,66.4,106.3,.296,.435,.555,51.9,51.1,8.5,9.7,.524,15.9,27.0,.218
