,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
54,Cleveland State,34,21,13,.618,-1.90,-4.93,,14,6,,13,3,,7,9,,2437,2314,,66.4,106.4,.294,.275,.524,50.4,49.1,10.3,9.5,.498,14.6,35.4,.200
55,Coastal Carolina,31,11,20,.355,-8.71,-1.53,,5,13,,8,8,,3,11,,2273,2294,,69.1,105.3,.284,.375,.533,51.2,46.9,8.7,9.6,.493,15.1,31.6,.222
56,Colgate,34,26,8,.765,2.28,-6.63,,17,1,,14,2,,11,4,,2672,2345,,68.3,115.1,.273,.351,.597,51.9,62.0,10.2,7.6,.585,13.4,25.4,.179
57,College of Charleston,34,31,3,.912,8.46,-4.51,,16,2,,17,1,,11,2,,2747,2290,,70.8,113.3,.328,.479,.554,54.5,49.8,10.3,7.8,.518,14.1,35.6,.243
58,Colorado,33,17,16,.515,12.06,8.79,,8,12,,12,4,,2,9,,2311,2203,,69.7,100.5,.303,.347,.520,52.7,50.9,10.9,9.8,.490,16.6,31.3,.210
59,Colorado State,33,15,18,.455,6.23,6.44,,6,12,,9,7,,4,8,,2391,2355,,66.4,107.9,.296,.385,.586,48.1,62.4,8.4,7.7,.558,15.3,19.9,.220
60,Columbia,29,7,22,.241,-14.65,-2.65,,2,12,,6,9,,1,13,,1966,2197,,70.6,95.3,.282,.413,.502,46.6,48.9,9.5,5.0,.468,17.0,27.0,.201
61,Connecticut,31,24,7,.774,20.88,7.45,,13,7,,15,2,,6,5,,2450,2017,,69.0,114.6,.318,.418,.570,56.6,63.0,9.7,12.8,.536,15.9,39.2,.240
62,Coppin State,32,9,23,.281,-14.60,-3.44,,4,10,,4,6,,5,16,,2304,2661,,73.1,97.0,.372,.443,.547,42.3,46.3,10.4,6.8,.510,18.5,18.6,.267
63,Cornell,27,17,10,.630,0.39,-2.65,,7,7,,11,2,,6,8,,2227,2049,,72.6,113.1,.285,.491,.586,50.1,59.9,13.3,6.2,.562,15.1,29.6,.208
64,Creighton,33,21,12,.636,17.69,9.54,,14,6,,13,2,,5,6,,2529,2260,,69.4,109.5,.281,.420,.574,52.7,57.8,7.5,9.5,.543,14.8,25.5,.216
65,Dartmouth,28,10,18,.357,-8.14,-2.68,,6,8,,7,5,,3,11,,1998,2027,,70.8,99.5,.292,.421,.540,49.6,50.1,7.6,10.4,.512,17.9,24.2,.204
66,Davidson,32,16,16,.500,2.21,1.69,,8,10,,7,8,,6,6,,2236,2197,,66.1,104.4,.339,.374,.543,48.7,53.5,8.0,3.5,.503,14.4,24.8,.254
67,Dayton,32,21,11,.656,9.28,1.06,,12,6,,14,2,,5,6,,2200,1939,,63.9,106.8,.355,.371,.560,53.8,62.1,7.6,12.3,.532,16.7,30.4,.245
68,Delaware,33,17,16,.515,-5.60,-3.75,,8,10,,10,5,,4,10,,2298,2333,,67.4,102.6,.331,.366,.534,47.6,47.7,10.2,10.6,.498,14.8,25.3,.241
69,Delaware State,30,6,24,.200,-17.71,-4.96,,4,11,,4,8,,2,14,,1939,2265,,69.6,92.1,.286,.314,.495,50.2,52.1,9.9,8.2,.463,19.7,30.7,.197
70,Denver,32,15,17,.469,-9.08,-5.42,,6,12,,9,5,,4,11,,2325,2402,,69.1,103.6,.416,.258,.566,53.1,43.5,7.9,8.4,.529,18.9,29.8,.298
