,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
12,Arizona State,34,22,12,.647,11.03,8.41,,11,9,,10,5,,7,6,,2391,2302,,1375,850,2056,.413,255,813,.314,436,633,.689,385,1253,484,247,159,402,630
13,Arkansas,33,20,13,.606,16.64,9.61,,8,10,,14,3,,2,8,,2456,2224,,1325,893,1879,.475,168,530,.317,502,728,.690,331,1162,443,277,173,426,631
14,Arkansas State,33,13,20,.394,-7.78,-3.01,,4,14,,10,8,,2,11,,2169,2232,,1325,777,1799,.432,209,593,.352,406,600,.677,325,1108,433,220,108,385,553
15,Arkansas-Pine Bluff,31,10,21,.323,-12.49,-4.86,,6,12,,8,5,,2,16,,2074,2162,,1250,701,1791,.391,245,776,.316,427,587,.727,314,1071,396,250,86,473,611
16,Army,33,17,16,.515,-7.23,-7.68,,10,8,,10,5,,7,8,,2412,2322,,1330,885,1853,.478,252,718,.351,390,570,.684,280,1132,432,168,70,427,532
17,Auburn,32,20,12,.625,14.93,9.28,,10,8,,14,2,,4,8,,2327,2146,,1285,826,1875,.441,208,663,.314,467,665,.702,375,1159,454,256,164,399,615
18,Austin Peay,31,9,22,.290,-12.45,-2.72,,3,15,,7,8,,1,13,,2067,2241,,1245,743,1790,.415,222,690,.322,359,495,.725,312,972,387,220,94,364,525
19,Ball State,32,20,12,.625,-0.75,-3.05,,11,7,,12,2,,6,7,,2445,2292,,1285,841,1785,.471,240,651,.369,523,759,.689,337,1147,422,176,123,391,525
20,Baylor,32,22,10,.688,18.08,11.18,,11,7,,14,3,,5,5,,2469,2248,,1285,823,1843,.447,310,834,.372,513,685,.749,373,1097,464,213,76,394,556
21,Bellarmine,33,15,18,.455,-7.37,-1.31,,9,9,,8,6,,6,12,,2187,2216,,1330,797,1738,.459,264,752,.351,329,436,.755,217,960,467,184,45,368,522
22,Belmont,32,21,11,.656,2.30,-1.51,,14,6,,12,2,,7,7,,2447,2299,,1290,898,1902,.472,307,791,.388,344,474,.726,267,1055,488,225,101,365,499
23,Bethune-Cookman,33,13,20,.394,-16.45,-7.48,,9,10,,8,5,,4,13,,2232,2459,,1325,793,1926,.412,227,627,.362,419,602,.696,327,1066,371,236,97,420,575
24,Binghamton,31,13,18,.419,-10.46,-5.53,,8,8,,8,7,,5,11,,2133,2217,,1260,794,1763,.450,172,533,.323,373,523,.713,301,1086,361,144,98,404,558
25,Boise State,32,24,8,.750,13.63,6.60,,13,5,,15,1,,5,6,,2322,2051,,1295,830,1818,.457,255,696,.366,407,551,.739,282,1144,362,161,96,361,517
26,Boston College,33,16,17,.485,1.13,4.76,,9,11,,9,7,,4,7,,2197,2317,,1330,819,1873,.437,188,590,.319,371,512,.725,308,1093,413,210,118,405,521
27,Boston University,32,15,17,.469,-8.16,-6.58,,8,10,,9,4,,6,11,,2147,2151,,1300,761,1845,.412,238,722,.330,387,524,.739,328,1136,335,205,79,384,561
28,Bowling Green State,31,11,20,.355,-8.09,-3.44,,5,13,,7,9,,4,11,,2355,2434,,1240,840,1859,.452,224,658,.340,451,622,.725,326,1109,428,188,93,378,550
29,Bradley,34,25,9,.735,7.37,-0.60,,16,4,,15,1,,8,5,,2411,2114,,1365,892,1928,.463,271,754,.359,356,532,.669,329,1201,456,237,134,398,545
