,,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
Rk,School,Conf,,AP Rank,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
81,Liberty,A-Sun,,,26,8,75.2,60.6,14.53,,-2.70,,0.68,7.53,8.21,91.92,77.33,14.60
82,Kent State,MAC,,,26,6,76.0,65.1,10.94,,-1.29,,2.58,5.51,8.09,78.57,66.86,11.70
83,Iona,MAAC,,,27,7,76.4,65.0,11.38,,-3.43,,4.92,3.03,7.95,91.88,79.10,12.78
84,Sam Houston State,WAC,,,25,7,73.2,58.9,14.28,,0.79,,-2.05,9.98,7.93,87.51,74.66,12.84
85,Nevada-Las Vegas,MWC,,,19,13,74.3,70.0,4.22,,5.84,,5.99,1.88,7.87,89.01,76.76,12.25
86,Nebraska,Big Ten,,,16,16,68.0,69.9,-1.91,,9.30,,1.93,5.47,7.40,86.35,74.39,11.96
87,Marshall,Sun Belt,,,24,8,81.8,71.3,10.47,,-2.59,,9.60,-2.22,7.38,90.33,79.73,10.60
88,Bradley,MVC,,,25,9,70.9,62.2,8.74,,-0.60,,-0.38,7.75,7.37,89.12,76.71,12.41
89,Washington,Pac-12,,,16,16,69.2,70.3,-1.16,,8.45,,4.13,3.17,7.30,87.48,76.49,10.99
90,Utah Valley,WAC,,,25,8,76.9,68.0,8.94,,0.91,,4.38,2.89,7.28,87.69,76.63,11.06
91,San Francisco,WCC,,,20,14,76.2,73.4,2.79,,4.19,,5.51,1.04,6.55,91.19,81.05,10.14
92,Toledo,MAC,,,27,6,86.1,76.3,9.82,,-2.35,,12.28,-5.77,6.51,91.57,80.82,10.75
93,Saint Louis,A-10,,,21,11,75.5,70.6,4.91,,3.12,,6.66,-0.35,6.31,89.11,77.86,11.25
94,Colorado State,MWC,,,15,18,72.5,71.4,1.09,,6.44,,4.60,1.62,6.23,93.27,83.25,10.02
95,Mississippi,SEC,,,12,21,67.5,69.1,-1.58,,7.79,,0.89,5.32,6.21,86.79,76.93,9.86
96,Wichita State,AAC,,,17,15,71.0,68.5,2.53,,3.68,,1.25,4.96,6.21,85.67,75.35,10.32
97,San Jose State,MWC,,,20,13,67.5,66.6,0.88,,5.74,,-0.53,6.49,5.96,90.42,80.39,10.03
98,Butler,Big East,,,14,18,65.3,67.9,-2.69,,8.55,,-2.66,8.51,5.86,83.28,74.15,9.14
99,Tulane,AAC,,,20,10,80.8,76.6,4.20,,3.05,,10.78,-4.95,5.83,86.09,74.92,11.17
