326. Stonehill (NEC, 14-17)
327. Stony Brook (CAA, 11-22)
328. Sacred Heart (NEC, 16-17)
329. Arkansas-Pine Bluff (SWAC, 10-21)
330. Central Arkansas (A-Sun, 9-22)
331. McNeese State (Southland, 11-23)
332. New Orleans (Southland, 12-20)
333. Little Rock (OVC, 10-21)
334. Coppin State (MEAC, 9-23)
335. Saint Francis (PA) (NEC, 13-18)
336. Lindenwood (OVC, 11-21)
337. Incarnate Word (Southland, 12-19)
338. Elon (CAA, 8-24)
339. Columbia (Ivy, 7-22)
340. Holy Cross (Patriot, 10-22)
341. Bethune-Cookman (SWAC, 13-20)
342. Eastern Illinois (OVC, 9-22)
343. Albany (NY) (AEC, 8-23)
344. NJIT (AEC, 7-23)
345. Hampton (CAA, 8-24)
346. Evansville (MVC, 5-27)
347. Central Connecticut State (NEC, 10-22)
348. St. Francis (NY) (NEC, 14-16)
349. Houston Christian (Southland, 10-22)
350. Monmouth (CAA, 7-26)
351. Alabama State (SWAC, 8-23)
352. VMI (Southern, 7-25)
353. Presbyterian (Big South, 5-27)
354. Lamar (Southland, 9-22)
355. South Carolina State (MEAC, 5-26)
356. Florida A&M (SWAC, 7-22)
357. Delaware State (MEAC, 6-24)
358. Mississippi Valley State (SWAC, 5-27)
359. IUPUI (Horizon, 5-27)
360. Green Bay (Horizon, 3-29)
361. Long Island University (NEC, 3-26)
